keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
aerospace-aviation,35,-0.17,0.47,0.54,0.88
aerospace-coatings-market,10,-0.19,0.51,0.66,0.81
aerospace-composites-market,10,-0.19,0.51,0.66,0.83
aerospace-defence,35,-0.17,0.47,0.50,0.91
aerospace-defense,35,-0.17,0.47,0.54,0.95
aerospace-defense-industry,10,-0.19,0.51,0.65,0.84
aerospace-equipment,35,-0.17,0.47,0.53,0.91
aerospace-fasteners-market,10,-0.19,0.51,0.62,0.93
aerospace-industry,35,-0.17,0.47,0.63,0.96
aerospace-manufacturing,35,-0.17,0.47,0.69,0.79
aerospace-plastics-market,10,-0.19,0.51,0.63,0.92
aerospace-sector,35,-0.17,0.47,0.62,0.94
aerotropolis,24,-0.16,0.46,0.62,0.90
aesa-radar,0,-0.11,0.56,0.69,0.87
afa,31,-0.17,0.48,0.57,0.87
affair,34,-0.17,0.50,0.53,0.97
affect,26,-0.14,0.56,0.57,0.95
affirm,26,-0.14,0.56,0.62,0.83
afford,26,-0.14,0.56,0.56,0.86
affordability,19,-0.17,0.51,0.53,0.93
affordable,21,-0.18,0.50,0.56,0.92
afghan,30,-0.13,0.56,0.76,0.74
afraid,14,-0.13,0.58,0.60,0.99
african-continent,24,-0.16,0.46,0.64,0.89
african-region,24,-0.16,0.46,0.55,0.91
aftermarket,35,-0.17,0.47,0.54,0.94
afternoon,34,-0.17,0.50,0.59,0.94
aftershock,11,-0.18,0.46,0.50,0.91
again,9,-0.15,0.55,0.58,0.97
agency,2,-0.20,0.46,0.56,0.93
agency-officer,11,-0.18,0.46,0.61,1.00
agent,9,-0.15,0.55,0.51,0.97
