keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
busy-summer-season,33,-0.03,0.67,0.78,0.76
busy-summer-travel-season,39,-0.17,0.41,0.65,0.96
busy-weekend,33,-0.03,0.67,0.59,0.95
bwi,38,-0.14,0.48,0.65,0.90
bypass,26,-0.14,0.56,0.64,0.78
caa,2,-0.20,0.46,0.51,0.94
caav,36,-0.10,0.57,0.50,0.97
cab,34,-0.17,0.50,0.57,0.99
cabin,12,-0.15,0.52,0.63,0.96
cabin-crew,36,-0.10,0.57,0.62,0.94
cabinet,30,-0.13,0.56,0.55,0.96
cabin-interiors,0,-0.11,0.56,0.56,0.95
cabin-pressure,0,-0.11,0.56,0.51,0.93
cable,12,-0.15,0.52,0.58,0.92
cables,12,-0.15,0.52,0.65,0.88
cadet,5,-0.19,0.44,0.62,0.96
cainiao,15,-0.18,0.43,0.54,0.98
cal,38,-0.14,0.48,0.53,0.90
calculator,18,-0.20,0.45,0.55,0.90
cali,38,-0.14,0.48,0.59,0.85
calibrated,21,-0.18,0.50,0.58,0.88
californian,5,-0.19,0.44,0.50,0.93
calvert,38,-0.14,0.48,0.52,0.90
cam,12,-0.15,0.52,0.54,0.96
cambodian,30,-0.13,0.56,0.73,0.77
camera,9,-0.15,0.55,0.70,0.87
campaigner,31,-0.17,0.48,0.58,0.92
campus,29,-0.12,0.59,0.52,0.95
can,14,-0.13,0.58,0.56,0.90
canadian,30,-0.13,0.56,0.55,0.90
canadian-airline,36,-0.10,0.57,0.69,0.79
canadian-carrier,36,-0.10,0.57,0.64,0.83
cancel,26,-0.14,0.56,0.57,0.89
canceled-flight,17,-0.17,0.48,0.56,0.97
cancellation,2,-0.20,0.46,0.53,0.92
cancelled-flight,17,-0.17,0.48,0.54,0.97
canton,38,-0.14,0.48,0.69,0.79
cantonment,38,-0.14,0.48,0.64,0.87
capability,19,-0.17,0.51,0.64,0.91
